"","X","A1","A2","A3","A4","A5","C1","C2","C3","C4","C5","E1","E2","E3","E4","E5","N1","N2","N3","N4","N5","O1","O2","O3","O4","O5","gender","education","age"
"58",61732,3,4,5,2,4,5,4,5,2,4,5,5,5,4,5,5,5,5,3,2,5,2,5,5,5,1,5,24
"59",61740,1,6,5,4,4,6,6,6,1,4,4,4,1,2,5,3,4,4,4,4,4,4,4,2,1,2,2,50
"60",61742,3,3,5,4,5,6,4,4,2,2,2,1,4,6,4,1,2,1,4,1,4,3,5,5,2,1,5,29
"61",61748,2,3,4,4,5,5,3,2,4,6,4,4,3,5,2,4,4,6,5,2,2,4,3,5,5,1,1,32
"62",61749,2,4,4,5,3,5,5,4,3,4,6,5,4,3,4,4,5,4,5,5,6,6,4,6,2,1,1,18
"63",61754,1,4,6,6,6,NA,6,6,2,3,1,1,5,6,6,4,4,3,1,3,5,3,3,6,3,2,4,32
"64",61756,4,5,3,5,4,6,5,5,2,2,1,1,5,6,6,3,5,3,1,3,4,1,4,6,1,2,3,26
"65",61757,2,6,6,6,6,4,6,6,1,4,3,6,5,4,4,4,3,6,6,4,4,1,6,6,3,2,5,27
"66",61759,2,NA,4,6,4,5,4,5,2,1,5,5,3,3,3,1,1,1,NA,1,2,1,4,6,1,2,3,19
"67",61761,1,5,4,2,5,1,2,2,2,6,2,5,2,2,1,2,5,5,4,2,5,4,4,6,1,1,4,21
"68",61762,4,3,2,2,2,4,2,2,4,5,4,3,4,2,4,1,2,1,5,2,6,1,6,6,1,1,3,21
"69",61763,2,3,4,5,6,5,5,4,2,2,1,2,4,4,4,1,2,2,4,2,3,2,5,5,2,2,5,36
"70",61764,1,6,6,3,6,6,5,6,1,4,4,4,2,3,3,1,2,2,5,2,6,2,3,5,2,2,2,48
"71",61771,4,5,6,6,4,4,6,6,1,2,4,3,5,5,5,2,3,3,1,3,4,1,4,6,2,2,3,22
"72",61772,2,4,6,2,5,2,4,4,1,1,1,1,4,4,NA,1,3,2,2,1,6,2,4,5,3,2,2,23
"73",61773,4,4,4,5,3,5,4,6,2,4,2,2,4,6,4,5,5,4,3,5,4,1,4,2,3,1,3,21
"74",61775,1,5,5,5,4,5,5,5,1,2,4,4,3,2,5,1,2,4,4,4,5,1,5,4,2,2,3,20
"75",61776,3,5,5,5,4,5,5,5,1,1,2,3,5,5,4,2,1,2,2,3,5,1,5,4,2,2,3,23
"76",61777,2,5,5,6,5,5,4,6,3,2,1,1,4,6,5,2,2,3,3,2,5,1,4,3,4,2,4,43
"77",61778,2,6,6,6,6,5,4,5,1,2,1,1,6,6,5,2,4,2,1,1,6,3,5,4,1,2,NA,16
"78",61780,5,6,6,6,5,5,5,6,3,4,1,2,5,6,6,4,3,4,4,6,5,4,5,6,3,2,NA,14
"79",61782,1,2,2,4,2,2,4,2,5,1,2,2,4,2,2,4,2,2,2,4,2,3,4,2,4,2,3,54
"80",61783,2,5,5,5,5,4,2,3,5,4,4,4,4,5,4,2,3,4,5,2,4,4,3,5,1,1,2,20
"81",61784,1,5,6,5,3,6,5,4,4,3,4,5,4,4,5,3,3,3,4,3,6,2,5,6,2,1,4,28
"82",61788,1,6,3,3,1,6,6,5,1,6,4,5,3,5,1,4,4,6,6,5,6,1,6,6,1,2,4,38
"83",61789,1,4,6,2,6,3,3,4,4,5,6,4,5,6,2,3,5,4,6,4,6,2,5,6,1,1,NA,38
"84",61793,1,6,6,5,6,5,6,5,1,1,3,2,5,5,5,3,3,2,2,2,4,5,4,5,2,1,3,27
"85",61794,1,6,5,2,6,4,5,5,2,3,3,4,4,5,3,2,4,5,6,6,6,5,4,6,1,2,1,18
"86",61797,4,4,4,6,5,2,5,4,4,3,5,3,3,3,5,2,2,4,2,4,3,4,3,4,4,1,3,29
"87",61798,1,5,5,5,5,4,4,5,2,2,5,2,2,5,5,3,3,2,2,2,4,5,5,4,4,2,4,50
"88",61801,1,6,5,4,6,4,5,4,4,5,2,2,4,5,5,1,3,2,2,2,5,1,4,5,2,2,3,50
"89",61808,1,6,4,6,4,4,4,5,2,4,1,2,4,5,5,2,3,2,2,2,4,2,3,4,2,2,3,20
"90",61812,3,4,5,5,4,3,3,NA,3,3,4,4,4,3,4,3,3,4,4,3,4,2,4,4,3,2,3,19
"91",61813,1,5,5,5,5,5,2,4,1,2,4,1,5,5,5,1,1,1,4,1,6,1,5,5,2,2,4,56
"92",61816,1,5,6,2,5,5,4,5,3,4,3,5,4,4,4,3,3,4,3,4,6,1,5,6,2,2,4,29
"93",61818,2,4,5,4,5,2,2,3,4,4,1,5,2,6,2,2,3,6,4,6,3,2,2,2,5,2,5,29
"94",61819,1,6,6,3,6,6,6,5,1,1,1,3,5,6,6,2,5,4,6,1,6,2,5,6,1,2,5,48
"95",61821,2,6,4,6,4,4,5,6,3,1,2,4,2,5,4,4,5,2,3,6,3,4,3,5,6,2,1,30
"96",61822,2,3,3,4,3,5,6,4,1,4,5,6,2,2,4,3,4,6,6,6,5,2,3,5,4,2,2,21
"97",61825,3,1,2,2,2,2,1,2,6,6,6,6,1,1,1,3,5,4,4,4,5,1,3,6,1,1,3,19
"98",61826,1,4,5,5,6,6,4,4,1,1,5,1,2,3,5,1,2,1,1,1,5,1,5,6,1,1,5,42
"99",61829,4,3,2,6,5,4,5,6,2,6,5,5,1,5,5,4,5,6,6,6,5,1,2,6,4,2,3,18
"100",61831,2,6,2,3,4,4,2,5,3,5,5,3,2,3,5,1,1,1,2,2,2,1,5,3,3,2,4,50
"101",61834,2,5,5,3,5,4,3,4,3,5,3,5,4,5,5,NA,5,6,4,4,6,2,5,6,1,2,3,24
"102",61835,3,4,4,2,4,4,3,4,4,2,2,3,4,3,5,4,4,2,2,4,4,2,5,4,2,1,5,25
"103",61838,2,5,5,5,2,6,6,4,1,5,3,2,2,2,5,4,5,5,5,4,6,2,5,6,1,1,5,47
"104",61839,1,4,5,2,6,2,1,2,4,6,6,5,3,3,3,2,1,3,3,1,4,3,4,5,6,2,1,18
"105",61840,1,6,4,1,1,6,4,5,2,1,6,6,3,1,1,4,3,6,6,5,2,3,3,6,3,2,4,37
"106",61841,1,6,5,6,6,5,3,4,6,5,2,4,3,4,5,4,5,4,3,4,5,4,4,6,2,2,4,33
"107",61847,1,5,5,5,2,6,NA,6,1,1,3,2,1,2,6,5,NA,5,4,3,4,1,6,6,1,2,5,40
"108",61848,6,1,1,1,2,3,6,3,3,4,1,4,5,2,6,6,6,3,2,5,6,1,6,5,2,1,NA,18
"109",61851,2,6,5,6,5,5,4,4,4,6,1,3,4,6,4,5,6,2,4,6,6,5,6,6,2,2,3,21
"110",61852,3,6,5,6,4,3,5,2,3,4,2,5,6,6,5,6,6,6,4,6,5,4,4,6,4,2,3,27
"111",61854,1,6,6,6,6,4,4,5,3,4,3,2,4,5,4,2,3,2,3,4,4,1,5,6,1,2,3,19
"112",61856,NA,4,5,6,4,5,5,5,1,5,3,4,3,2,3,1,2,1,4,2,3,6,1,3,3,2,4,36
"113",61857,1,6,6,5,4,5,3,5,1,2,2,4,4,5,4,1,1,1,2,2,4,2,4,6,2,2,3,19
"114",61861,1,6,6,6,6,6,6,5,1,6,5,5,2,5,5,1,5,5,5,6,6,1,6,6,2,2,5,29
"115",61862,1,6,5,4,5,5,4,5,2,2,1,1,6,6,5,2,2,2,2,2,6,1,5,4,1,2,5,23
"116",61865,4,2,1,2,2,4,1,2,6,6,5,5,2,2,1,2,4,2,4,2,2,6,3,5,5,1,5,23
"117",61868,1,5,4,3,4,5,6,4,1,4,3,2,4,5,6,1,2,2,4,1,4,1,6,5,1,1,3,20
"118",61873,5,2,2,2,1,2,2,2,3,5,5,6,2,1,2,4,4,2,2,2,5,1,5,5,2,1,4,24
"119",61874,2,5,4,3,4,5,4,5,2,3,1,2,4,5,5,4,4,3,2,3,6,1,5,5,2,1,5,24
"120",61880,1,5,6,6,6,6,5,4,2,6,1,2,5,6,6,1,2,2,2,4,6,1,6,6,1,1,5,26
"121",61886,4,6,5,5,6,4,6,5,5,2,1,3,6,6,6,4,3,1,3,4,6,3,6,5,3,2,3,25
"122",61888,2,5,4,4,4,4,5,5,5,5,5,6,3,2,2,3,4,2,5,6,2,4,4,6,4,1,4,24
"123",61889,6,5,5,2,5,5,5,6,1,1,1,2,5,5,6,5,4,4,3,1,6,2,6,5,1,1,5,24
"124",61890,2,5,5,1,6,5,5,5,3,6,2,4,6,6,5,4,4,3,3,1,5,3,6,4,2,1,5,28
"125",61891,2,4,5,5,5,5,5,4,6,6,5,5,5,5,3,1,2,2,4,2,5,2,5,6,1,1,4,22
"126",61895,2,5,5,5,2,5,5,5,2,6,5,5,3,2,2,2,3,2,5,5,5,1,6,6,1,1,5,26
"127",61896,2,5,6,5,6,5,4,5,3,2,2,2,4,5,5,4,4,2,2,2,4,3,5,4,2,1,5,25
"128",61900,2,5,4,4,5,5,4,5,3,5,2,3,5,4,5,2,3,3,4,2,5,2,6,6,2,1,4,23
"129",61901,2,5,5,3,2,2,3,4,5,6,2,5,2,2,2,2,4,4,4,2,5,2,4,6,2,1,3,22
"130",61907,4,5,4,NA,3,5,3,4,2,5,1,4,3,5,4,4,5,5,4,5,4,4,3,6,3,2,3,19
"131",61908,2,4,4,4,4,4,4,4,4,5,4,3,4,6,5,4,5,3,5,4,4,2,4,6,3,2,4,25
"132",61909,3,5,4,5,4,4,4,5,3,5,2,4,5,5,4,5,5,5,5,5,6,3,4,5,2,1,3,25
"133",61911,4,3,3,3,3,6,5,5,2,3,5,NA,3,2,3,3,3,3,4,4,5,1,5,6,6,1,5,27
"134",61913,2,4,3,3,3,4,4,4,3,6,2,5,3,2,5,4,6,4,4,5,3,5,3,5,3,2,3,20
"135",61915,1,6,6,6,6,6,6,3,6,5,6,5,5,6,6,6,6,4,5,6,5,6,6,6,2,2,3,25
"136",61918,1,6,6,5,6,6,1,3,4,5,3,4,4,6,3,5,5,2,5,2,4,4,6,6,1,2,3,49
"137",61921,1,6,6,4,6,1,1,3,1,1,1,1,6,6,6,4,4,1,NA,2,4,1,6,2,2,2,3,26
"138",61922,1,6,5,6,5,6,6,4,1,1,1,2,5,4,5,4,6,2,1,2,6,1,6,5,3,2,3,25
"139",61923,1,6,5,6,5,5,5,4,1,4,2,3,6,6,5,4,4,5,4,5,5,2,5,6,4,2,3,25
"140",61925,3,6,6,4,6,2,3,2,5,5,1,1,6,6,6,4,4,4,3,3,6,3,4,5,2,1,NA,18
"141",61926,2,3,1,3,1,3,3,3,2,6,6,6,1,1,3,5,4,3,6,4,2,2,1,5,3,1,3,21
"142",61928,2,4,5,5,5,4,4,6,4,2,1,2,4,6,5,6,6,4,4,6,4,4,3,4,5,2,3,22
"143",61932,2,5,3,5,1,6,5,4,2,2,1,1,5,6,2,3,5,4,4,5,4,2,5,4,3,2,3,37
"144",61935,1,6,5,6,6,3,2,4,2,3,3,2,5,5,3,2,2,2,2,1,4,4,4,5,3,2,3,20
"145",61936,5,4,4,5,6,3,5,3,3,6,4,4,6,5,5,2,5,2,1,2,6,2,5,5,2,2,1,22
"146",61939,2,5,4,3,3,6,4,4,2,4,6,4,3,3,4,1,1,1,4,3,6,1,4,6,1,2,5,41
"147",61944,1,6,6,3,6,6,6,6,1,5,1,4,5,5,6,3,6,4,4,6,5,1,4,6,1,2,5,22
"148",61945,2,6,4,5,4,4,4,5,3,5,3,3,4,4,4,3,3,3,4,3,4,4,5,5,2,1,5,24
"149",61949,2,6,3,5,2,4,4,6,4,5,2,1,5,4,6,1,1,1,1,1,6,2,5,2,1,2,4,23
"150",61952,1,5,5,6,5,5,5,5,2,2,2,2,1,5,3,5,2,4,4,2,5,2,5,5,1,1,4,32
"151",61953,1,5,5,3,3,5,2,2,5,6,2,3,2,3,4,5,5,5,3,2,5,2,5,6,2,1,5,43
"152",61954,1,6,6,5,6,6,5,3,1,1,1,2,5,5,5,1,1,1,2,4,6,1,6,6,1,2,4,30
"153",61957,2,5,5,6,5,4,4,2,5,4,4,3,5,5,4,3,4,2,1,1,6,5,4,6,2,2,2,50
"154",61958,4,4,3,1,4,5,4,4,1,1,1,1,4,6,6,3,4,2,2,1,4,1,6,4,2,1,1,18
"155",61965,2,6,5,5,3,5,5,6,2,1,2,5,3,4,5,1,3,2,1,3,6,2,4,6,5,2,3,16
"156",61967,3,5,6,5,5,4,5,4,2,4,2,2,5,5,5,3,3,5,4,3,5,2,6,5,3,2,5,34
"157",61968,1,6,6,6,5,5,3,4,4,4,1,2,5,6,5,2,2,2,2,3,5,4,5,5,2,2,2,18
"158",61969,2,5,5,5,4,3,1,4,4,5,5,5,5,3,5,2,4,5,4,5,5,4,5,5,1,2,5,24
"159",61971,2,4,4,1,3,3,5,4,4,5,4,4,4,5,2,1,2,1,4,4,5,1,6,6,1,1,2,18
"160",61972,2,4,5,5,4,5,6,5,2,1,3,4,4,2,6,6,6,2,3,4,5,5,4,5,5,2,3,22
"161",61973,1,5,5,6,5,5,4,5,1,1,4,2,4,4,4,3,4,2,NA,1,5,1,4,4,4,2,2,36
"162",61974,1,6,6,2,5,5,3,2,3,4,2,2,3,5,5,2,4,2,3,5,4,2,4,6,2,2,3,19
"163",61975,2,6,4,5,4,2,3,2,4,5,2,3,4,5,4,4,3,2,4,2,5,5,4,4,2,1,3,20
"164",61976,1,5,2,3,4,2,5,6,5,2,5,2,1,3,4,1,2,4,1,1,5,6,2,2,6,1,3,24
"165",61978,1,6,6,6,6,5,5,5,2,2,2,2,5,6,4,2,2,4,3,4,5,6,5,6,4,2,3,20
"166",61979,2,4,5,5,5,1,1,3,4,5,1,2,5,5,2,1,2,1,2,1,6,1,5,5,6,1,5,34
"167",61983,2,4,5,6,5,4,6,4,1,2,1,1,6,6,5,1,1,2,2,1,5,1,5,5,2,1,3,21
"168",61986,2,6,5,4,4,4,2,4,5,5,2,NA,4,3,5,4,4,2,4,1,6,4,5,5,2,1,3,19
"169",61987,1,5,5,5,5,5,6,4,2,2,4,1,5,4,6,4,5,5,4,2,5,1,5,6,1,2,2,18
"170",61989,1,6,6,1,3,6,6,5,1,4,5,6,1,4,1,6,6,6,5,6,5,1,2,5,1,2,NA,25
"171",61990,3,4,4,3,4,3,3,5,3,6,2,5,5,3,4,5,4,2,2,4,5,4,4,4,5,2,5,27
"172",61992,4,4,5,6,4,5,6,6,4,2,2,2,5,5,5,4,2,4,5,4,4,2,5,3,3,1,5,33
"173",61993,1,5,5,5,5,4,4,4,4,5,2,2,5,5,5,3,3,3,3,4,6,2,5,4,5,1,3,20
"174",61994,2,6,5,5,4,5,4,5,3,4,4,6,5,6,6,3,3,2,2,2,5,6,6,5,1,2,3,19
"175",61999,2,6,6,6,5,5,5,5,2,1,2,1,5,5,6,1,2,2,2,3,5,1,6,6,3,2,NA,16
"176",62001,1,2,2,4,3,6,4,6,5,6,4,5,1,6,3,4,6,6,4,5,3,4,3,6,4,2,3,18
"177",62003,1,6,5,6,6,4,5,3,3,4,6,3,4,5,5,1,2,2,2,3,6,1,5,6,1,2,4,35
"178",62004,6,5,6,6,5,6,6,6,1,3,6,6,4,4,5,4,5,4,4,4,6,1,3,6,3,2,3,23
"179",62005,4,3,4,3,4,4,3,5,4,4,2,4,4,3,4,5,5,3,2,3,5,4,4,4,4,2,5,27
"180",62007,3,4,2,2,3,3,2,2,4,1,2,2,5,4,5,2,3,1,1,1,6,3,6,5,1,1,3,18
"181",62009,4,3,4,3,3,5,2,4,4,5,3,5,4,1,4,5,5,5,4,4,6,1,6,6,1,1,2,31
"182",62011,1,6,5,6,6,5,4,5,2,4,3,4,5,6,4,2,3,2,1,1,5,5,3,5,3,2,NA,17
"183",62013,3,5,4,4,4,3,3,4,4,4,5,4,3,2,4,2,3,2,3,2,5,4,4,3,4,1,1,53
"184",62014,4,2,2,3,3,4,3,3,4,5,4,5,2,2,5,5,4,4,5,4,5,2,5,6,2,1,5,29
"185",62015,3,4,4,3,3,5,5,4,3,2,3,4,4,2,3,4,4,5,4,4,6,1,6,6,1,1,2,19
"186",62022,1,6,5,6,3,3,5,1,1,6,1,3,3,3,6,6,6,6,2,6,3,6,1,1,6,2,1,29
"187",62023,1,5,5,4,5,4,4,4,4,4,4,1,5,5,4,1,2,1,1,2,6,4,6,6,1,1,5,41
"188",62024,2,2,1,6,3,6,6,6,1,1,2,2,5,6,6,1,3,1,1,1,6,1,6,6,2,2,5,31
"189",62025,2,4,4,5,5,5,5,5,1,2,6,5,2,5,5,5,5,5,6,3,2,2,3,5,2,2,3,45
"190",62026,1,6,6,2,5,5,5,5,1,2,2,2,6,6,6,6,6,4,2,4,6,1,5,5,1,2,2,47
"191",62029,2,3,4,4,4,3,1,1,3,2,3,3,3,3,4,2,3,2,3,2,6,2,4,5,2,1,4,27
"192",62031,1,6,4,3,6,4,4,5,2,5,2,5,4,5,6,4,5,5,2,6,5,2,6,6,1,2,2,24
"193",62032,2,3,4,5,3,4,5,4,2,5,5,3,3,4,4,2,2,4,4,3,4,3,4,5,3,1,4,20
"194",62033,5,4,3,5,4,4,4,4,4,5,1,5,5,6,4,1,1,1,4,5,5,4,4,4,5,1,2,23
"195",62034,1,5,4,4,4,5,5,5,2,4,3,4,2,4,4,4,4,4,3,4,4,2,3,5,2,1,5,28
"196",62038,1,6,6,5,3,1,3,2,2,5,6,6,5,1,2,6,4,6,6,3,3,1,3,3,4,2,NA,16
"197",62039,2,5,6,3,5,5,3,3,3,4,1,2,6,5,6,5,4,1,2,2,4,4,5,4,2,1,1,18
"198",62041,2,4,5,6,5,2,4,4,3,2,4,4,3,5,2,2,4,3,2,3,3,1,3,5,3,2,NA,16
"199",62042,2,6,5,5,5,2,4,3,4,6,1,3,5,6,6,1,1,2,1,1,6,3,4,5,3,1,NA,17
"200",62043,1,5,6,4,5,3,2,5,2,1,1,1,2,5,4,1,2,2,2,4,5,1,5,5,1,2,1,18
"201",62044,2,5,5,5,5,5,6,5,1,2,2,3,3,5,4,1,3,1,2,5,4,3,4,5,5,1,NA,16
"202",62047,1,5,2,2,2,2,2,6,2,3,5,6,4,1,5,3,5,5,5,4,2,5,4,6,1,2,NA,16
"203",62048,3,3,5,5,5,4,4,4,3,4,3,2,3,5,4,3,5,3,3,4,4,4,3,2,3,2,1,18
"204",62051,2,4,5,6,5,5,6,4,1,2,2,1,4,6,5,1,2,1,1,1,5,3,4,3,2,1,NA,17
"205",62052,1,6,5,5,5,5,4,4,3,4,3,2,4,5,4,1,2,4,2,1,6,2,4,5,3,1,NA,17
"206",62054,2,6,4,6,2,4,5,5,1,1,6,4,5,4,6,1,2,1,5,4,5,2,1,5,1,1,NA,16
"207",62055,2,5,5,6,4,2,4,2,2,4,5,4,3,3,5,4,4,4,3,2,3,2,3,4,3,2,1,18
"208",62056,1,4,NA,6,6,6,4,4,1,1,6,6,6,1,6,1,1,1,1,1,6,1,4,6,1,2,5,50
"209",62059,1,5,6,5,5,3,3,3,4,4,1,1,5,5,5,3,4,4,2,3,4,3,5,4,3,2,4,25
"210",62060,2,3,2,1,4,1,2,2,1,5,1,5,2,4,5,1,5,1,2,1,4,1,2,5,1,1,5,48
"211",62063,2,5,5,5,5,6,2,5,2,2,2,2,4,6,5,2,2,2,1,2,5,1,5,6,1,2,4,27
"212",62064,1,6,5,6,6,4,5,4,5,6,3,4,6,5,5,5,5,6,2,NA,6,1,1,5,2,2,3,22
"213",62067,5,4,4,4,5,5,4,NA,4,4,4,4,4,5,3,2,2,2,2,1,5,3,4,5,4,1,3,20
"214",62070,3,4,3,3,3,3,3,3,4,6,5,5,2,2,4,6,6,6,6,3,3,4,2,4,4,2,NA,17
"215",62073,1,6,6,4,6,5,5,5,1,3,3,1,6,2,NA,2,2,1,1,2,6,1,6,6,1,2,5,59
"216",62075,2,4,4,1,4,5,4,4,2,2,4,5,3,3,5,4,5,1,2,3,5,1,5,6,2,2,1,17
"217",62077,1,6,6,6,6,6,5,4,1,2,1,1,5,6,6,3,4,3,2,2,6,6,5,5,1,2,3,32
"218",62079,2,4,4,4,3,5,1,3,2,1,1,1,3,6,5,5,6,6,1,1,4,3,5,2,3,1,3,22
"219",62082,5,5,4,5,4,6,6,6,1,6,2,2,4,5,5,1,1,4,3,4,6,4,4,5,2,1,3,21
"220",62084,5,3,1,2,3,6,2,2,4,5,5,4,3,4,2,1,4,4,4,2,6,2,6,5,2,1,5,29
"221",62090,2,5,5,5,4,5,5,5,4,3,2,4,5,5,4,3,4,4,3,4,NA,5,3,4,3,1,1,18
"222",62092,1,5,NA,5,6,6,6,1,1,1,6,1,1,5,1,1,1,1,6,1,6,6,6,1,1,2,3,40
